,Itemcode,Item Description,Brand,Pack-size,Vendor ID,Receive Date,PO Number,PO Line #,Ordered Quantity,Order UOM,Received Quantity,Rec. UOM,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
386,APPE1,Apple McIntosh ECO 80s,,,CLA,11/12/2015,3018,2,42,CS,42,CS,0.0,0.0,1008.0,1008.0,0.0,0.0,0.0,0.0,24.0
387,APPE1,Apple McIntosh ECO 80s,,,ORB,11/18/2015,3042,2,42,CS,42,CS,0.0,0.0,1039.5,1039.5,0.0,0.0,0.0,0.0,24.75
388,APPE1,Apple McIntosh ECO 80s,,,CLA,11/19/2015,3056,1,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
389,APPE1,Apple McIntosh ECO 80s,,,SUN,11/24/2015,3046,1,84,CS,36,CS,0.0,-57.14,891.0,891.0,0.0,0.0,0.0,0.0,24.75
390,APPE1,Apple McIntosh ECO 80s,,,ORB,12/04/2015,3089,2,126,CS,126,CS,0.0,0.0,3118.5,3118.5,0.0,0.0,0.0,0.0,24.75
391,APPE1,Apple McIntosh ECO 80s,,,CLA,12/04/2015,3094,1,126,CS,126,CS,0.0,0.0,3055.5,3055.5,0.0,0.0,0.0,0.0,24.25
392,APPE1,Apple McIntosh ECO 80s,,,SUL,12/12/2015,3107,1,210,CS,210,CS,0.0,0.0,4672.5,4672.5,0.0,525.0,525.0,0.0,22.25
393,APPE1,Apple McIntosh ECO 80s,,,CLA,12/18/2015,3117,1,129,CS,129,CS,0.0,0.0,3192.75,3192.75,0.0,0.0,0.0,0.0,24.75
394,APPE1,Apple McIntosh ECO 80s,,,CLA,12/29/2015,3118,2,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
395,APPE1,Apple McIntosh ECO 80s,,,CLA,01/06/2016,3146,2,126,CS,126,CS,0.0,0.0,3118.5,3118.5,0.0,0.0,0.0,0.0,24.75
396,APPE1,Apple McIntosh ECO 80s,,,ORB,01/08/2016,3145,2,42,CS,42,CS,0.0,0.0,1039.5,1039.5,0.0,0.0,0.0,0.0,24.75
397,APPE1,Apple McIntosh ECO 80s,,,ORB,01/22/2016,3173,3,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
398,APPE1,Apple McIntosh ECO 80s,,,SUN,01/27/2016,3178,1,46,CS,46,CS,0.0,0.0,1138.5,1138.5,0.0,0.0,0.0,0.0,24.75
399,APPE1,Apple McIntosh ECO 80s,,,SUN,02/01/2016,3185,1,42,CS,42,CS,0.0,0.0,1039.5,1039.5,0.0,0.0,0.0,0.0,24.75
400,APPE1,Apple McIntosh ECO 80s,,,SUL,02/05/2016,3190,1,210,CS,210,CS,0.0,0.0,4882.5,4882.5,0.0,315.0,315.0,0.0,23.25
401,APPE1,Apple McIntosh ECO 80s,,,SUL,02/12/2016,3196,1,42,CS,42,CS,0.0,0.0,976.5,976.5,0.0,63.0,63.0,0.0,23.25
402,APPE1,Apple McIntosh ECO 80s,,,ORB,02/12/2016,3205,1,126,CS,126,CS,0.0,0.0,3118.5,3118.5,0.0,0.0,0.0,0.0,24.75
403,APPE1,Apple McIntosh ECO 80s,,,ORB,02/19/2016,3209,1,42,CS,42,CS,0.0,0.0,1039.5,1039.5,0.0,0.0,0.0,0.0,24.75
404,APPE1,Apple McIntosh ECO 80s,,,ORB,03/09/2016,3238,2,42,CS,42,CS,0.0,0.0,1039.5,1039.5,0.0,0.0,0.0,0.0,24.75
405,APPE1,Apple McIntosh ECO 80s,,,SUL,03/11/2016,3242,1,126,CS,126,CS,0.0,0.0,2929.5,2929.5,0.0,189.0,189.0,0.0,23.25
406,APPE1,Apple McIntosh ECO 80s,,,SUL,03/19/2016,3243,1,126,CS,126,CS,0.0,0.0,2929.5,2929.5,0.0,189.0,189.0,0.0,23.25
407,APPE1,Apple McIntosh ECO 80s,,,ORB,03/25/2016,3271,1,84,CS,84,CS,0.0,0.0,2079.0,2079.0,0.0,0.0,0.0,0.0,24.75
409,APPE10,Apple McIntosh ECO 120s,,,LYM,09/14/2015,2554,2,9,CS,9,CS,0.0,0.0,180.0,180.0,0.0,74.1,74.1,0.0,20.0
410,APPE10,Apple McIntosh ECO 120s,,,LYM,09/18/2015,2596,1,11,CS,11,CS,0.0,0.0,231.0,231.0,0.0,70.72,70.72,0.0,21.0
